letter,section,representativeRoot,otherRoots
Q,丿,金,
W,丿,人,
E,丿,月,
R,丿,白,
T,丿,禾,
Y,丶,言,
U,丶,立,
I,丶,水,
O,丶,火,
P,丶,之,
A,一,工,
S,一,木,
D,一,大,
F,一,土,
G,一,王,
H,丨,目,
J,丨,日,
K,丨,口,
L,丨,田,
X,乙,纟,
C,乙,又,
V,乙,女,
B,乙,子,
N,乙,已,
M,丨,山,
